Season,Year,EditionCountry,AthleteId,Discipline,DisciplineCode,Event,EventBase,EventTeam,Athlete,Country,Result,Medal,Sex,CountryLatitude,CountryLongitude
Summer,1896,GRE,0,Cycling,CYC,2000m Sprint (Scratch) Men,2000m Sprint (Scratch) Men,,Paul Masson,FRA,4:58.2,GOLD,Man,46.0000,2.0000
Summer,1896,GRE,1,Cycling,CYC,2000m Sprint (Scratch) Men,2000m Sprint (Scratch) Men,,Stamatios Nikolopoulos,GRE,5:00.2,SILVER,Man,0,0
Summer,1896,GRE,2,Cycling,CYC,2000m Sprint (Scratch) Men,2000m Sprint (Scratch) Men,,Léon Flameng,FRA,,BRONZE,Man,46.0000,2.0000
Summer,1896,GRE,3,Cycling,CYC,Individual Road Race Men,Individual Road Race Men,,Aristides Konstantinides,GRE,3:21:10,GOLD,Man,0,0
Summer,1896,GRE,4,Cycling,CYC,Individual Road Race Men,Individual Road Race Men,,August Goedrich,DEU,3:34:14,SILVER,Man,51.0000,9.0000
Summer,1896,GRE,5,Cycling,CYC,Individual Road Race Men,Individual Road Race Men,,Edward Battell,GBR,,BRONZE,Man,54.0000,-2.0000
Summer,1896,GRE,0,Cycling,CYC,One-Lap Race,One-Lap Race,,Paul Masson,FRA,24.0,GOLD,,46.0000,2.0000
Summer,1896,GRE,1,Cycling,CYC,One-Lap Race,One-Lap Race,,Stamatios Nikolopoulos,GRE,26.0,SILVER,,0,0
Summer,1896,GRE,6,Cycling,CYC,One-Lap Race,One-Lap Race,,Adolf Schmal,AUT,26.0,BRONZE,,47.3333,13.3333
Summer,1896,GRE,0,Cycling,CYC,10km Track Race,10km Track Race,,Paul Masson,FRA,17:54.2,GOLD,,46.0000,2.0000
Summer,1896,GRE,2,Cycling,CYC,10km Track Race,10km Track Race,,Léon Flameng,FRA,17:54.8,SILVER,,46.0000,2.0000
Summer,1896,GRE,6,Cycling,CYC,10km Track Race,10km Track Race,,Adolf Schmal,AUT,,BRONZE,,47.3333,13.3333
Summer,1896,GRE,2,Cycling,CYC,100km Track Race,100km Track Race,,Léon Flameng,FRA,3:08:19,GOLD,,46.0000,2.0000
Summer,1896,GRE,7,Cycling,CYC,100km Track Race,100km Track Race,,Georgios Kolettis,GRE,,SILVER,,0,0
Summer,1896,GRE,6,Cycling,CYC,12-Hour Race,12-Hour Race,,Adolf Schmal,AUT,295.3,GOLD,,47.3333,13.3333
Summer,1896,GRE,8,Cycling,CYC,12-Hour Race,12-Hour Race,,Frank Keeping,GBR,294.946,SILVER,,54.0000,-2.0000
Summer,1896,GRE,9,Fencing,FEN,"Foil, Individual",Foil,Individual,Eugène-Henri Gravelotte,FRA,,GOLD,,46.0000,2.0000
Summer,1896,GRE,10,Fencing,FEN,"Foil, Individual",Foil,Individual,Henri Callot,FRA,,SILVER,,46.0000,2.0000
Summer,1896,GRE,11,Fencing,FEN,"Foil, Individual",Foil,Individual,Perikles Pierrakos-Mavromikhalis,GRE,,BRONZE,,0,0
Summer,1896,GRE,12,Fencing,FEN,"Sabre, Individual",Sabre,Individual,Ioannis Georgiadis,GRE,,GOLD,,0,0
Summer,1896,GRE,13,Fencing,FEN,"Sabre, Individual",Sabre,Individual,Telemachos Karakalos,GRE,,SILVER,,0,0
Summer,1896,GRE,14,Fencing,FEN,"Sabre, Individual",Sabre,Individual,Holger Nielsen,DEN,,BRONZE,,0,0
Summer,1896,GRE,15,Fencing,FEN,Masters Foil,Masters Foil,,Leon Pyrgos,GRE,,GOLD,,0,0
Summer,1896,GRE,16,Fencing,FEN,Masters Foil,Masters Foil,,Jean Perronnet,FRA,,SILVER,,46.0000,2.0000
Summer,1896,GRE,17,Gymnastics,GYM,Horizontal Bar,Horizontal Bar,,Hermann Weingärtner,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,18,Gymnastics,GYM,Horizontal Bar,Horizontal Bar,,Alfred Flatow,DEU,,SILVER,,51.0000,9.0000
Summer,1896,GRE,18,Gymnastics,GYM,Parallel Bars,Parallel Bars,,Alfred Flatow,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,19,Gymnastics,GYM,Parallel Bars,Parallel Bars,,Louis Zutter,SUI,,SILVER,,0,0
Summer,1896,GRE,20,Gymnastics,GYM,Long Horse Vault,Long Horse Vault,,Carl Schuhmann,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,19,Gymnastics,GYM,Long Horse Vault,Long Horse Vault,,Louis Zutter,SUI,,SILVER,,0,0
Summer,1896,GRE,17,Gymnastics,GYM,Long Horse Vault,Long Horse Vault,,Hermann Weingärtner,DEU,,BRONZE,,51.0000,9.0000
Summer,1896,GRE,19,Gymnastics,GYM,Pommeled Horse,Pommeled Horse,,Louis Zutter,SUI,,GOLD,,0,0
Summer,1896,GRE,17,Gymnastics,GYM,Pommeled Horse,Pommeled Horse,,Hermann Weingärtner,DEU,,SILVER,,51.0000,9.0000
Summer,1896,GRE,21,Gymnastics,GYM,Rings,Rings,,Ioannis Mitropoulos,GRE,,GOLD,,0,0
Summer,1896,GRE,17,Gymnastics,GYM,Rings,Rings,,Hermann Weingärtner,DEU,,SILVER,,51.0000,9.0000
Summer,1896,GRE,22,Gymnastics,GYM,Rings,Rings,,Petros Persakis,GRE,,BRONZE,,0,0
Summer,1896,GRE,23,Gymnastics,GYM,Rope climbing,Rope climbing,,Nicolaos Andriakopoulos,GRE,23.4,GOLD,,0,0
Summer,1896,GRE,24,Gymnastics,GYM,Rope climbing,Rope climbing,,Thomas Xenakis,GRE,n.a.,SILVER,,0,0
Summer,1896,GRE,25,Gymnastics,GYM,Rope climbing,Rope climbing,,Fritz Hofmann,DEU,dnf,BRONZE,,51.0000,9.0000
Summer,1896,GRE,25,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Fritz Hofmann,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,26,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Gustav Flatow,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,27,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Georg Hilmar,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,28,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Conrad Böcker,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,18,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Alfred Flatow,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,29,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Karl Neukirch,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,30,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Fritz Manteuffel,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,17,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Hermann Weingärtner,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,31,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Richard Röstel,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,32,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Gustav Schuft,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,20,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Carl Schuhmann,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,24,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Thomas Xenakis,GRE,,SILVER,,0,0
Summer,1896,GRE,22,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Petros Persakis,GRE,,SILVER,,0,0
Summer,1896,GRE,23,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Nicolaos Andriakopoulos,GRE,,SILVER,,0,0
Summer,1896,GRE,33,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Sotirios Athanasopoulos,GRE,,SILVER,,0,0
Summer,1896,GRE,34,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Philippos Karvelas,GRE,,BRONZE,,0,0
Summer,1896,GRE,35,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Ioannis Khrisaphos,GRE,,BRONZE,,0,0
Summer,1896,GRE,36,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Dimitrios Loundras,GRE,,BRONZE,,0,0
Summer,1896,GRE,21,Gymnastics,GYM,Parallel Bars Team,Parallel Bars,Team,Ioannis Mitropoulos,GRE,,BRONZE,,0,0
Summer,1896,GRE,30,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Fritz Manteuffel,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,29,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Karl Neukirch,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,32,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Gustav Schuft,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,31,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Richard Röstel,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,17,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Hermann Weingärtner,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,25,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Fritz Hofmann,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,27,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Georg Hilmar,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,26,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Gustav Flatow,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,28,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Conrad Böcker,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,18,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Alfred Flatow,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,20,Gymnastics,GYM,Horizontal Bar Team,Horizontal Bar,Team,Carl Schuhmann,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,37,Shooting,SHO,Pistol 25m,Pistol 25m,,Ioannis Fragoudis,GRE,344,GOLD,,0,0
Summer,1896,GRE,38,Shooting,SHO,Pistol 25m,Pistol 25m,,Georgios Orfanidis,GRE,249,SILVER,,0,0
Summer,1896,GRE,14,Shooting,SHO,Pistol 25m,Pistol 25m,,Holger Nielsen,DEN,n/a,BRONZE,,0,0
Summer,1896,GRE,39,Shooting,SHO,Free Pistol,Free Pistol,,Sumner Paine,USA,442,GOLD,,38.0000,-97.0000
Summer,1896,GRE,14,Shooting,SHO,Free Pistol,Free Pistol,,Holger Nielsen,DEN,285,SILVER,,0,0
Summer,1896,GRE,37,Shooting,SHO,Free Pistol,Free Pistol,,Ioannis Fragoudis,GRE,n/a,BRONZE,,0,0
Summer,1896,GRE,40,Shooting,SHO,Military Revolver,Military Revolver,,John Paine,USA,442,GOLD,,38.0000,-97.0000
Summer,1896,GRE,39,Shooting,SHO,Military Revolver,Military Revolver,,Sumner Paine,USA,380,SILVER,,38.0000,-97.0000
Summer,1896,GRE,41,Shooting,SHO,Military Revolver,Military Revolver,,Mnokolaos Morakis,GRE,205,BRONZE,,0,0
Summer,1896,GRE,42,Shooting,SHO,Free Rifle,Free Rifle,,Pantelis Karasevdas,GRE,2320,GOLD,,0,0
Summer,1896,GRE,43,Shooting,SHO,Free Rifle,Free Rifle,,Pavlos Pavlidis,GRE,1978,SILVER,,0,0
Summer,1896,GRE,44,Shooting,SHO,Free Rifle,Free Rifle,,Nikolaos Trikoupis,GRE,1713,BRONZE,,0,0
Summer,1896,GRE,38,Shooting,SHO,Army Gun 300m,Army Gun 300m,,Georgios Orfanidis,GRE,1583,GOLD,,0,0
Summer,1896,GRE,37,Shooting,SHO,Army Gun 300m,Army Gun 300m,,Ioannis Fragoudis,GRE,1312,SILVER,,0,0
Summer,1896,GRE,45,Shooting,SHO,Army Gun 300m,Army Gun 300m,,Viggo Jensen,DEN,1305,BRONZE,,0,0
Summer,1896,GRE,46,Swimming,SWI,100m Freestyle Men,100m Freestyle Men,,Alfréd Hajós,HUN,1:22.2,GOLD,Man,47.0000,20.0000
Summer,1896,GRE,47,Swimming,SWI,100m Freestyle Men,100m Freestyle Men,,Otto Herschmann,AUT,1:22.8,SILVER,Man,47.3333,13.3333
Summer,1896,GRE,48,Swimming,SWI,500m Freestyle Men,500m Freestyle Men,,Paul Neumann,AUT,8:12.6,GOLD,Man,47.3333,13.3333
Summer,1896,GRE,49,Swimming,SWI,500m Freestyle Men,500m Freestyle Men,,Antonios Pepanos,GRE,9:57.6,SILVER,Man,0,0
Summer,1896,GRE,50,Swimming,SWI,500m Freestyle Men,500m Freestyle Men,,Efstathios  Chorafas,GRE,n/a,BRONZE,Man,0,0
Summer,1896,GRE,46,Swimming,SWI,1200m Freestyle Men,1200m Freestyle Men,,Alfréd Hajós,HUN,18:22.2,GOLD,Man,47.0000,20.0000
Summer,1896,GRE,51,Swimming,SWI,1200m Freestyle Men,1200m Freestyle Men,,Ioannis Andreou,GRE,21:03.4,SILVER,Man,0,0
Summer,1896,GRE,50,Swimming,SWI,1200m Freestyle Men,1200m Freestyle Men,,Efstathios  Chorafas,GRE,n/a,BRONZE,Man,0,0
Summer,1896,GRE,52,Swimming,SWI,100m Freestyle for Sailors,100m Freestyle for Sailors,,Ioannis Malokinis,GRE,2:20.4,GOLD,,0,0
Summer,1896,GRE,53,Swimming,SWI,100m Freestyle for Sailors,100m Freestyle for Sailors,,Spyros Chasapis,GRE,n/a,SILVER,,0,0
Summer,1896,GRE,54,Swimming,SWI,100m Freestyle for Sailors,100m Freestyle for Sailors,,Dimitrios Drivas,GRE,n/a,BRONZE,,0,0
Summer,1896,GRE,55,Tennis,TEN,Men's Singles,Men's,Single,John Boland,GBR,,GOLD,Man,54.0000,-2.0000
Summer,1896,GRE,56,Tennis,TEN,Men's Singles,Men's,Single,Dionyssios Kasdaglis,GRE,,SILVER,Man,0,0
Summer,1896,GRE,57,Tennis,TEN,Men's Singles,Men's,Single,Konstantinos Paspatis,GRE,,BRONZE,Man,0,0
Summer,1896,GRE,58,Tennis,TEN,Men's Singles,Men's,Single,Momcsilló Topavicza,HUN,,BRONZE,Man,47.0000,20.0000
Summer,1896,GRE,59,Tennis,TEN,Men's Doubles,Men's,Double,Fritz Traun,INT,,GOLD,Man,0,0
Summer,1896,GRE,55,Tennis,TEN,Men's Doubles,Men's,Double,John Boland,INT,,GOLD,Man,0,0
Summer,1896,GRE,56,Tennis,TEN,Men's Doubles,Men's,Double,Dionyssios Kasdaglis,INT,,SILVER,Man,0,0
Summer,1896,GRE,60,Tennis,TEN,Men's Doubles,Men's,Double,Dimitris Petrokokkinos,INT,,SILVER,Man,0,0
Summer,1896,GRE,61,Tennis,TEN,Men's Doubles,Men's,Double,George Robertson,INT,,BRONZE,Man,0,0
Summer,1896,GRE,62,Tennis,TEN,Men's Doubles,Men's,Double,Teddy Flack,INT,,BRONZE,Man,0,0
Summer,1896,GRE,45,Weightlifting,WEI,Heavyweight (Two-handed),Heavyweight (Two-handed),,Viggo Jensen,DEN,111.5,GOLD,,0,0
Summer,1896,GRE,63,Weightlifting,WEI,Heavyweight (Two-handed),Heavyweight (Two-handed),,Launceston Elliot,GBR,111.5,SILVER,,54.0000,-2.0000
Summer,1896,GRE,64,Weightlifting,WEI,Heavyweight (Two-handed),Heavyweight (Two-handed),,Alexandros Nikolopoulos,GRE,,BRONZE,,0,0
Summer,1896,GRE,20,Weightlifting,WEI,Heavyweight (Two-handed),Heavyweight (Two-handed),,Carl Schuhmann,DEU,,BRONZE,,51.0000,9.0000
Summer,1896,GRE,58,Weightlifting,WEI,Heavyweight (Two-handed),Heavyweight (Two-handed),,Momcsilló Topavicza,HUN,,BRONZE,,47.0000,20.0000
Summer,1896,GRE,65,Weightlifting,WEI,Heavyweight (Two-handed),Heavyweight (Two-handed),,Sotiris Versis,GRE,,BRONZE,,0,0
Summer,1896,GRE,63,Weightlifting,WEI,Heavyweight One Handed,Heavyweight One Handed,,Launceston Elliot,GBR,71,GOLD,,54.0000,-2.0000
Summer,1896,GRE,45,Weightlifting,WEI,Heavyweight One Handed,Heavyweight One Handed,,Viggo Jensen,DEN,57.2,SILVER,,0,0
Summer,1896,GRE,64,Weightlifting,WEI,Heavyweight One Handed,Heavyweight One Handed,,Alexandros Nikolopoulos,GRE,n/a,BRONZE,,0,0
Summer,1896,GRE,20,Wrestling,WRE,Greco-Roman Heavyweight,Greco-Roman Heavyweight,,Carl Schuhmann,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,66,Wrestling,WRE,Greco-Roman Heavyweight,Greco-Roman Heavyweight,,Georgios Tsitas,GRE,,SILVER,,0,0
Summer,1896,GRE,67,Wrestling,WRE,Greco-Roman Heavyweight,Greco-Roman Heavyweight,,Stephanos Khristopoulos,GRE,,BRONZE,,0,0
Summer,1900,FRA,68,Archery,ARC,Sur la perche á la herse Men,Sur la perche á la herse Men,,Emmanuel Foulon,BEL,,GOLD,Man,50.8333,4.0000
Summer,1900,FRA,69,Archery,ARC,Sur la perche á la herse Men,Sur la perche á la herse Men,,Emile Druart,BEL,,SILVER,Man,50.8333,4.0000
Summer,1900,FRA,70,Archery,ARC,Sur la perche á la herse Men,Sur la perche á la herse Men,,Auguste Serrurier,FRA,,SILVER,Man,46.0000,2.0000
Summer,1900,FRA,71,Archery,ARC,Sur la perche á la pyramide Men,Sur la perche á la pyramide Men,,Emile Grumiaux,FRA,,GOLD,Man,46.0000,2.0000
Summer,1900,FRA,70,Archery,ARC,Sur la perche á la pyramide Men,Sur la perche á la pyramide Men,,Auguste Serrurier,FRA,,SILVER,Man,46.0000,2.0000
Summer,1900,FRA,72,Archery,ARC,Sur la perche á la pyramide Men,Sur la perche á la pyramide Men,,Louis Glinaux,BEL,,BRONZE,Man,50.8333,4.0000
Summer,1900,FRA,73,Archery,ARC,Au cordon doré 33m Men,Au cordon doré 33m Men,,Hubert van Innis,BEL,,GOLD,Man,50.8333,4.0000
Summer,1900,FRA,74,Archery,ARC,Au cordon doré 33m Men,Au cordon doré 33m Men,,Victor Thibaud,FRA,,SILVER,Man,46.0000,2.0000
Summer,1900,FRA,75,Archery,ARC,Au cordon doré 33m Men,Au cordon doré 33m Men,,Charles-Frédéric Petit,FRA,,BRONZE,Man,46.0000,2.0000
Summer,1900,FRA,76,Archery,ARC,Au cordon doré 50m Men,Au cordon doré 50m Men,,Henri Herouin,FRA,31,GOLD,Man,46.0000,2.0000
Summer,1900,FRA,73,Archery,ARC,Au cordon doré 50m Men,Au cordon doré 50m Men,,Hubert van Innis,BEL,29,SILVER,Man,50.8333,4.0000
Summer,1900,FRA,77,Archery,ARC,Au cordon doré 50m Men,Au cordon doré 50m Men,,Emile Fisseux,FRA,28,BRONZE,Man,46.0000,2.0000
Summer,1900,FRA,73,Archery,ARC,Au chapelet 33m Men,Au chapelet 33m Men,,Hubert van Innis,BEL,,GOLD,Man,50.8333,4.0000
Summer,1900,FRA,74,Archery,ARC,Au chapelet 33m Men,Au chapelet 33m Men,,Victor Thibaud,FRA,,SILVER,Man,46.0000,2.0000
Summer,1900,FRA,75,Archery,ARC,Au chapelet 33m Men,Au chapelet 33m Men,,Charles-Frédéric Petit,FRA,,BRONZE,Man,46.0000,2.0000
Summer,1900,FRA,78,Archery,ARC,Au chapelet 50m Men,Au chapelet 50m Men,,Eugène Mougin,FRA,,GOLD,Man,46.0000,2.0000
Summer,1900,FRA,79,Archery,ARC,Au chapelet 50m Men,Au chapelet 50m Men,,Henri Helle,FRA,,SILVER,Man,46.0000,2.0000
Summer,1900,FRA,80,Archery,ARC,Au chapelet 50m Men,Au chapelet 50m Men,,Emile Mercier,FRA,,BRONZE,Man,46.0000,2.0000
Summer,1900,FRA,81,Cricket,CRI,Cricket,Cricket,,George Buckley,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,82,Cricket,CRI,Cricket,Cricket,,Francis Burchell,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,83,Cricket,CRI,Cricket,Cricket,,Fred Christian,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,84,Cricket,CRI,Cricket,Cricket,,Harry Corner,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,85,Cricket,CRI,Cricket,Cricket,,Frederick Cuming,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,86,Cricket,CRI,Cricket,Cricket,,William Donne,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,87,Cricket,CRI,Cricket,Cricket,,Charles Beachcroft,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,88,Cricket,CRI,Cricket,Cricket,,Arthur Birkett,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,89,Cricket,CRI,Cricket,Cricket,,Alfred Bowerman,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,90,Cricket,CRI,Cricket,Cricket,,Alfred Powlesland,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,91,Cricket,CRI,Cricket,Cricket,,John Symes,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,92,Cricket,CRI,Cricket,Cricket,,Montague Toller,GBR,,GOLD,,54.0000,-2.0000
Summer,1900,FRA,93,Cricket,CRI,Cricket,Cricket,,Philip H Tomalin,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,94,Cricket,CRI,Cricket,Cricket,,Henry Terry,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,95,Cricket,CRI,Cricket,Cricket,,W Anderson,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,96,Cricket,CRI,Cricket,Cricket,,W T Attrill,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,97,Cricket,CRI,Cricket,Cricket,,D Robinson,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,98,Cricket,CRI,Cricket,Cricket,,F Roques,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,99,Cricket,CRI,Cricket,Cricket,,A J Schneidau,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,100,Cricket,CRI,Cricket,Cricket,,J Braid,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,101,Cricket,CRI,Cricket,Cricket,,W Browning,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,102,Cricket,CRI,Cricket,Cricket,,R Horne,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,103,Cricket,CRI,Cricket,Cricket,,T H Jordan,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,104,Cricket,CRI,Cricket,Cricket,,A McEvoy,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,105,Croquet,CRO,"Croquet, Singles (1 Ball)","Croquet, Singles (1 Ball)",, Aumoitte,FRA,45,GOLD,,46.0000,2.0000
Summer,1900,FRA,106,Croquet,CRO,"Croquet, Singles (1 Ball)","Croquet, Singles (1 Ball)",, Johin,FRA,21,SILVER,,46.0000,2.0000
Summer,1900,FRA,107,Croquet,CRO,"Croquet, Singles (2 Balls)","Croquet, Singles (2 Balls)",, Waydelick,FRA,,GOLD,,46.0000,2.0000
Summer,1900,FRA,108,Croquet,CRO,"Croquet, Singles (2 Balls)","Croquet, Singles (2 Balls)",, Vigneron,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,109,Croquet,CRO,"Croquet, Singles (2 Balls)","Croquet, Singles (2 Balls)",, Sautereau,FRA,,BRONZE,,46.0000,2.0000
Summer,1900,FRA,106,Croquet,CRO,"Croquet, Doubles","Croquet,",Double, Johin,FRA,,GOLD,,46.0000,2.0000
Summer,1900,FRA,105,Croquet,CRO,"Croquet, Doubles","Croquet,",Double, Aumoitte,FRA,,GOLD,,46.0000,2.0000
Summer,1900,FRA,110,Cycling,CYC,2000m Sprint (Scratch) Men,2000m Sprint (Scratch) Men,,Georges Taillandier,FRA,2:52.0,GOLD,Man,46.0000,2.0000
Summer,1900,FRA,111,Cycling,CYC,2000m Sprint (Scratch) Men,2000m Sprint (Scratch) Men,,Fernand Sanz,FRA,,SILVER,Man,46.0000,2.0000
Summer,1900,FRA,112,Cycling,CYC,2000m Sprint (Scratch) Men,2000m Sprint (Scratch) Men,,John Lake,USA,,BRONZE,Man,38.0000,-97.0000
Summer,1900,FRA,113,Cycling,CYC,25km Track Race,25km Track Race,,Louis Bastien,FRA,,GOLD,,46.0000,2.0000
Summer,1900,FRA,114,Cycling,CYC,25km Track Race,25km Track Race,,Louis Hildebrand,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,115,Cycling,CYC,25km Track Race,25km Track Race,, Daumain,FRA,,BRONZE,,46.0000,2.0000
Summer,1900,FRA,116,Equestrian,EQU,"Jumping, Individual",Jumping,Individual,Aimé Haegeman,BEL,2:16.0,GOLD,,50.8333,4.0000
Summer,1900,FRA,117,Equestrian,EQU,"Jumping, Individual",Jumping,Individual,Georges van de Poele,BEL,2:17.6,SILVER,,50.8333,4.0000
Summer,1900,FRA,118,Equestrian,EQU,"Jumping, Individual",Jumping,Individual,Louis de Champsavin,FRA,2:26.0,BRONZE,,46.0000,2.0000
Summer,1900,FRA,119,Equestrian,EQU,High Jump,High Jump,,Dominique Gardères,FRA,1.85,GOLD,,46.0000,2.0000
Summer,1900,FRA,120,Equestrian,EQU,High Jump,High Jump,,Gian Giorgio Trissino,KIT,,GOLD,,0,0
Summer,1900,FRA,117,Equestrian,EQU,High Jump,High Jump,,Georges van de Poele,BEL,1.70,BRONZE,,50.8333,4.0000
Summer,1900,FRA,121,Equestrian,EQU,Long Jump,Long Jump,,Constant van Langhendonck,BEL,6.10,GOLD,,50.8333,4.0000
Summer,1900,FRA,120,Equestrian,EQU,Long Jump,Long Jump,,Gian Giorgio Trissino,KIT,5.70,SILVER,,0,0
Summer,1900,FRA,122,Equestrian,EQU,Long Jump,Long Jump,, de Bellegarde,FRA,5.30,BRONZE,,46.0000,2.0000
Summer,1900,FRA,123,Equestrian,EQU,Hacks and Hunter combined,Hacks and Hunter combined,,Napoléon Murat,FRA,,GOLD,,46.0000,2.0000
Summer,1900,FRA,124,Equestrian,EQU,Hacks and Hunter combined,Hacks and Hunter combined,, Archenoul,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,125,Equestrian,EQU,Hacks and Hunter combined,Hacks and Hunter combined,,Marquis de Montesquiou-Fézensac,FRA,,BRONZE,,46.0000,2.0000
Summer,1900,FRA,126,Equestrian,EQU,Mail Coach,Mail Coach,,Georges Nagelmackers,BEL,,GOLD,,50.8333,4.0000
Summer,1900,FRA,127,Equestrian,EQU,Mail Coach,Mail Coach,,Léon Thome,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,128,Equestrian,EQU,Mail Coach,Mail Coach,,de Neuflize Baron ,FRA,,BRONZE,,46.0000,2.0000
Summer,1900,FRA,129,Fencing,FEN,"Foil, Individual",Foil,Individual,Emile Coste,FRA,,GOLD,,46.0000,2.0000
Summer,1900,FRA,130,Fencing,FEN,"Foil, Individual",Foil,Individual,Henri Masson,FRA,,SILVER,,46.0000,2.0000
Summer,1900,FRA,131,Fencing,FEN,"Foil, Individual",Foil,Individual,Jacques Boulenger,FRA,,BRONZE,,46.0000,2.0000
Summer,1900,FRA,132,Fencing,FEN,"Épée, Individual",Épée,Individual,Ramón Fonst,CUB,,GOLD,,21.5000,-80.0000
Summer,1900,FRA,133,Fencing,FEN,"Épée, Individual",Épée,Individual,Louis Perrée,FRA,,SILVER,,46.0000,2.0000
