Edition;Sport;NOC;numberBronze;numberSilver;numberGold
1984;Boxing;ROU;1;;
1984;Boxing;THA;;1;
1984;Boxing;TUR;2;;
1984;Boxing;USA;1;1;9
1984;Boxing;VEN;2;;
1984;Boxing;YUG;2;1;1
1984;Boxing;ZAM;1;;
1984;Canoe / Kayak;AUS;2;;
1984;Canoe / Kayak;CAN;6;3;3
1984;Canoe / Kayak;DEN;1;1;
1984;Canoe / Kayak;ESP;2;;
1984;Canoe / Kayak;FRA;7;2;
1984;Canoe / Kayak;FRG;2;1;1
1984;Canoe / Kayak;NED;1;;
1984;Canoe / Kayak;NZL;;;8
1984;Canoe / Kayak;ROU;1;2;6
1984;Canoe / Kayak;SWE;;11;3
1984;Canoe / Kayak;USA;1;;
1984;Canoe / Kayak;YUG;;3;2
1984;Cycling;AUS;;;4
1984;Cycling;BEL;;;1
1984;Cycling;CAN;;2;
1984;Cycling;FRA;1;;
1984;Cycling;FRG;5;2;1
1984;Cycling;ITA;;;4
1984;Cycling;JPN;1;;
1984;Cycling;MEX;1;;
1984;Cycling;NOR;1;;
1984;Cycling;SUI;;4;
1984;Cycling;USA;5;6;4
1984;Equestrian;DEN;;3;
1984;Equestrian;FRG;8;;5
1984;Equestrian;GBR;1;8;
1984;Equestrian;NZL;;;1
1984;Equestrian;SUI;4;3;
1984;Equestrian;SWE;3;;
1984;Equestrian;USA;;2;9
1984;Fencing;CHN;;;1
1984;Fencing;FRA;11;10;2
1984;Fencing;FRG;;7;10
1984;Fencing;ITA;7;1;11
1984;Fencing;ROU;5;5;
1984;Fencing;SWE;;1;
1984;Fencing;USA;1;;
1984;Football;BRA;;17;
1984;Football;FRA;;;17
1984;Football;YUG;17;;
1984;Gymnastics;CAN;;;1
1984;Gymnastics;CHN;7;9;5
1984;Gymnastics;FRA;1;;
1984;Gymnastics;FRG;1;;
1984;Gymnastics;JPN;8;3;3
1984;Gymnastics;ROU;2;2;10
1984;Gymnastics;USA;6;10;10
1984;Handball;CHN;13;;
1984;Handball;FRG;;15;
1984;Handball;KOR;;13;
1984;Handball;ROU;15;;
1984;Handball;YUG;;;29
1984;Hockey;FRG;;32;
1984;Hockey;GBR;16;;
1984;Hockey;NED;;;16
1984;Hockey;PAK;;;16
1984;Hockey;USA;16;;
1984;Judo;AUT;1;;1
1984;Judo;BRA;2;1;
1984;Judo;CAN;1;;
1984;Judo;EGY;;1;
1984;Judo;FRA;2;1;
1984;Judo;FRG;2;;1
1984;Judo;GBR;2;1;
1984;Judo;ISL;1;;
1984;Judo;ITA;;1;
1984;Judo;JPN;1;;4
1984;Judo;KOR;1;2;2
1984;Judo;ROU;2;;
1984;Judo;USA;1;1;
1984;Modern Pentathlon;FRA;3;;
1984;Modern Pentathlon;ITA;1;;4
1984;Modern Pentathlon;SWE;;1;
1984;Modern Pentathlon;USA;;3;
1984;Rowing;AUS;14;4;
1984;Rowing;BEL;1;2;
1984;Rowing;CAN;7;7;9
1984;Rowing;DEN;9;;
1984;Rowing;ESP;;2;
1984;Rowing;FIN;;;1
1984;Rowing;FRG;2;1;4
1984;Rowing;GBR;;;5
1984;Rowing;ITA;;;3
1984;Rowing;NED;9;2;
1984;Rowing;NOR;2;;
1984;Rowing;NZL;5;;4
1984;Rowing;ROU;;12;17
1984;Rowing;USA;3;24;11
1984;Rowing;YUG;2;;
1984;Sailing;AUS;2;;
1984;Sailing;BRA;;3;
1984;Sailing;CAN;4;2;
1984;Sailing;ESP;;;2
1984;Sailing;FRA;2;;
1984;Sailing;FRG;;2;
1984;Sailing;GBR;2;;
1984;Sailing;ITA;2;;
1984;Sailing;NED;;;1
1984;Sailing;NZL;1;;3
1984;Sailing;USA;;6;7
1984;Shooting;AUS;1;;
1984;Shooting;AUT;;1;
1984;Shooting;CAN;;;1
1984;Shooting;CHN;3;;3
1984;Shooting;COL;;1;
1984;Shooting;DEN;;1;
1984;Shooting;FIN;1;;
1984;Shooting;FRA;;1;1
1984;Shooting;FRG;;1;
1984;Shooting;GBR;3;;1
1984;Shooting;ITA;1;1;1
1984;Shooting;JPN;;;1
1984;Shooting;PER;;1;
1984;Shooting;ROU;;1;
1984;Shooting;SUI;;1;
1984;Shooting;SWE;;1;
1984;Shooting;USA;2;1;3
1984;Volleyball;BRA;;12;
1984;Volleyball;CHN;;;12
1984;Volleyball;ITA;12;;
1984;Volleyball;JPN;12;;
1984;Volleyball;USA;;12;12
1984;Weightlifting;AUS;;1;1
1984;Weightlifting;CAN;;1;
1984;Weightlifting;CHN;;2;4
1984;Weightlifting;FIN;2;;
1984;Weightlifting;FRG;1;;2
1984;Weightlifting;GBR;1;;
1984;Weightlifting;ITA;;;1
1984;Weightlifting;JPN;3;;
1984;Weightlifting;ROU;1;5;2
1984;Weightlifting;TPE;1;;
1984;Weightlifting;USA;1;1;
1984;Wrestling;CAN;1;1;
1984;Wrestling;FIN;1;1;1
1984;Wrestling;FRG;;2;1
1984;Wrestling;GBR;1;;
1984;Wrestling;GRE;1;1;
1984;Wrestling;ITA;;;1
1984;Wrestling;JPN;2;5;2
1984;Wrestling;KOR;4;1;2
1984;Wrestling;MEX;;1;
1984;Wrestling;ROU;3;1;2
1984;Wrestling;SUI;1;;
1984;Wrestling;SWE;2;2;
1984;Wrestling;SYR;;1;
1984;Wrestling;TUR;1;;
1984;Wrestling;USA;1;3;9
1984;Wrestling;YUG;2;1;2
1988;Aquatics;AUS;1;1;1
1988;Aquatics;BUL;1;1;1
1988;Aquatics;CAN;4;4;3
1988;Aquatics;CHN;2;6;2
1988;Aquatics;CRC;;1;
1988;Aquatics;DEN;;1;
1988;Aquatics;ESP;1;;
1988;Aquatics;FRA;2;;
1988;Aquatics;FRG;4;1;1
1988;Aquatics;GBR;1;1;1
1988;Aquatics;GDR;12;11;17
1988;Aquatics;HUN;;2;4
1988;Aquatics;ITA;1;;
1988;Aquatics;JPN;3;;1
1988;Aquatics;MEX;1;;
1988;Aquatics;NED;;4;
1988;Aquatics;NZL;2;;
1988;Aquatics;POL;1;;
1988;Aquatics;ROU;1;1;
1988;Aquatics;SUR;;;1
1988;Aquatics;SWE;;1;
1988;Aquatics;URS;21;5;2
1988;Aquatics;USA;9;29;19
1988;Aquatics;YUG;;;13
1988;Archery;GBR;3;;
1988;Archery;INA;;3;
1988;Archery;KOR;1;2;7
1988;Archery;URS;1;;
1988;Archery;USA;3;3;1
1988;Athletics;AUS;;1;1
1988;Athletics;BRA;1;1;
1988;Athletics;BUL;1;1;2
1988;Athletics;CAN;1;;
1988;Athletics;CHN;1;;
1988;Athletics;DJI;1;;
1988;Athletics;FIN;1;;1
1988;Athletics;FRA;4;;
1988;Athletics;FRG;6;1;
1988;Athletics;GBR;2;9;
1988;Athletics;GDR;13;14;6
1988;Athletics;ITA;1;1;1
1988;Athletics;JAM;;5;
1988;Athletics;KEN;1;2;4
1988;Athletics;MAR;1;;1
1988;Athletics;POR;;;1
1988;Athletics;ROU;;1;1
1988;Athletics;SEN;;1;
1988;Athletics;SUI;1;;
1988;Athletics;SWE;1;;
1988;Athletics;TCH;;1;1
1988;Athletics;URS;13;6;16
1988;Athletics;USA;6;10;19
1988;Basketball;URS;12;;12
1988;Basketball;USA;12;;12
1988;Basketball;YUG;;24;
1988;Boxing;AUS;;1;
1988;Boxing;BUL;;1;1
1988;Boxing;CAN;1;1;1
1988;Boxing;COL;1;;
1988;Boxing;FRA;;1;
1988;Boxing;FRG;1;;
1988;Boxing;GBR;1;;
1988;Boxing;GDR;;1;2
1988;Boxing;HUN;1;;
1988;Boxing;ITA;;;1
1988;Boxing;KEN;1;;1
1988;Boxing;KOR;1;1;2
1988;Boxing;MAR;1;;
1988;Boxing;MEX;1;;
1988;Boxing;MGL;1;;
1988;Boxing;NED;1;;
1988;Boxing;PAK;1;;
1988;Boxing;PHI;1;;
1988;Boxing;POL;4;;
1988;Boxing;ROU;;1;
1988;Boxing;SWE;1;1;
1988;Boxing;THA;1;;
1988;Boxing;URS;2;1;1
1988;Boxing;USA;2;3;3
1988;Boxing;YUG;1;;
1988;Canoe / Kayak;AUS;2;1;
1988;Canoe / Kayak;BUL;6;2;1
1988;Canoe / Kayak;FRA;2;;
1988;Canoe / Kayak;GDR;5;5;7
1988;Canoe / Kayak;HUN;2;4;5
1988;Canoe / Kayak;NED;2;;
1988;Canoe / Kayak;NZL;1;2;2
1988;Canoe / Kayak;POL;3;2;
1988;Canoe / Kayak;URS;;7;5
1988;Canoe / Kayak;USA;;;3
1988;Cycling;AUS;5;2;
1988;Cycling;DEN;;;1
1988;Cycling;FRG;2;2;
1988;Cycling;GDR;1;5;6
1988;Cycling;NED;;1;1
1988;Cycling;POL;;4;
1988;Cycling;SWE;4;;
1988;Cycling;URS;2;1;7
1988;Cycling;USA;1;;
1988;Equestrian;CAN;4;;
1988;Equestrian;FRA;4;1;1
1988;Equestrian;FRG;1;;13
1988;Equestrian;GBR;1;5;
1988;Equestrian;NZL;4;;1
1988;Equestrian;SUI;1;4;
1988;Equestrian;USA;;5;
1988;Fencing;FRA;;1;6
1988;Fencing;FRG;1;11;7
1988;Fencing;GDR;;1;
1988;Fencing;HUN;10;;5
1988;Fencing;ITA;6;5;1
1988;Fencing;POL;;1;
1988;Fencing;URS;7;5;5
1988;Football;BRA;;21;
1988;Football;FRG;20;;
1988;Football;URS;;;20
1988;Gymnastics;BUL;1;1;1
1988;Gymnastics;CHN;1;;1
1988;Gymnastics;GDR;9;8;1
1988;Gymnastics;HUN;;;1
1988;Gymnastics;JPN;7;;
1988;Gymnastics;KOR;1;;
1988;Gymnastics;ROU;3;8;3
1988;Gymnastics;URS;4;5;22
1988;Gymnastics;USA;1;;
1988;Handball;KOR;;13;12
1988;Handball;NOR;;15;
1988;Handball;URS;15;;14
1988;Handball;YUG;15;;
1988;Hockey;AUS;;;16
1988;Hockey;FRG;;16;
1988;Hockey;GBR;;;16
1988;Hockey;KOR;;16;
1988;Hockey;NED;32;;
1988;Judo;AUT;;;1
1988;Judo;BEL;1;;
1988;Judo;BRA;;;1
1988;Judo;FRA;1;;1
1988;Judo;FRG;;2;
1988;Judo;GBR;1;;
1988;Judo;GDR;1;2;
1988;Judo;JPN;3;;1
1988;Judo;KOR;1;;2
1988;Judo;NED;1;;
1988;Judo;POL;;1;1
1988;Judo;URS;4;1;
1988;Judo;USA;1;1;
1988;Modern Pentathlon;GBR;3;;
1988;Modern Pentathlon;HUN;;;4
1988;Modern Pentathlon;ITA;;4;
1988;Modern Pentathlon;URS;1;;
1988;Rowing;BUL;3;2;
1988;Rowing;CHN;9;5;
1988;Rowing;FRG;4;1;9
1988;Rowing;GBR;3;;2
1988;Rowing;GDR;4;3;31
1988;Rowing;ITA;;;7
1988;Rowing;NED;;;2
1988;Rowing;NOR;;4;
1988;Rowing;NZL;8;;
1988;Rowing;ROU;9;18;2
1988;Rowing;SUI;;2;
1988;Rowing;URS;2;13;
1988;Rowing;USA;9;5;
1988;Rowing;YUG;2;;
1988;Sailing;AHO;;1;
1988;Sailing;BRA;4;;
1988;Sailing;CAN;2;;
1988;Sailing;DEN;3;;2
1988;Sailing;ESP;;;1
1988;Sailing;FRA;;;4
1988;Sailing;GBR;;;2
1988;Sailing;GDR;;;3
1988;Sailing;ISV;;1;
1988;Sailing;NOR;;2;
1988;Sailing;NZL;1;2;1
1988;Sailing;SWE;;2;
1988;Sailing;URS;2;2;
1988;Sailing;USA;3;5;2
1988;Shooting;BEL;1;;
1988;Shooting;BUL;;1;1
1988;Shooting;CHI;;1;
1988;Shooting;CHN;1;1;
1988;Shooting;ESP;1;;
1988;Shooting;FRA;;1;
1988;Shooting;FRG;1;1;1
1988;Shooting;GBR;;1;1
1988;Shooting;GDR;;1;1
1988;Shooting;HUN;2;;
1988;Shooting;JPN;;1;
1988;Shooting;KOR;;1;
1988;Shooting;NOR;;;1
1988;Shooting;ROU;;;1
1988;Shooting;SWE;;1;
1988;Shooting;TCH;;1;1
1988;Shooting;URS;6;1;4
1988;Shooting;USA;;1;
1988;Shooting;YUG;1;;2
1988;Table Tennis;CHN;1;3;3
1988;Table Tennis;KOR;2;1;3
1988;Table Tennis;SWE;1;;
1988;Table Tennis;YUG;2;2;
1988;Tennis;ARG;;1;
1988;Tennis;AUS;2;;
1988;Tennis;BUL;1;;
1988;Tennis;ESP;;2;
1988;Tennis;FRG;2;;1
1988;Tennis;SWE;3;;
1988;Tennis;TCH;2;2;1
1988;Tennis;USA;2;1;4
1988;Volleyball;ARG;12;;
1988;Volleyball;CHN;12;;
1988;Volleyball;PER;;12;
1988;Volleyball;URS;;12;12
1988;Volleyball;USA;;;12
1988;Weightlifting;BUL;1;1;2
1988;Weightlifting;CHN;4;1;
1988;Weightlifting;FRG;2;1;
1988;Weightlifting;GDR;1;1;1
1988;Weightlifting;HUN;;2;
1988;Weightlifting;KOR;1;1;
1988;Weightlifting;POL;1;;
1988;Weightlifting;ROU;;1;
1988;Weightlifting;TUR;;;1
1988;Weightlifting;URS;;2;6
1988;Wrestling;BUL;3;4;1
1988;Wrestling;FIN;1;1;
1988;Wrestling;FRG;;1;
1988;Wrestling;GDR;1;;
1988;Wrestling;GRE;1;;
1988;Wrestling;HUN;;1;1
1988;Wrestling;IRI;;1;
1988;Wrestling;ITA;;;1
1988;Wrestling;JPN;;2;2
1988;Wrestling;KOR;5;2;2
1988;Wrestling;NOR;;;1
1988;Wrestling;POL;1;1;1
1988;Wrestling;ROU;;;1
1988;Wrestling;SWE;1;;
1988;Wrestling;TCH;1;;
1988;Wrestling;TUR;;1;
1988;Wrestling;URS;3;4;8
1988;Wrestling;USA;3;1;2
1988;Wrestling;YUG;;1;
1992;Aquatics;AUS;5;3;1
1992;Aquatics;BRA;;1;
1992;Aquatics;CAN;5;2;2
1992;Aquatics;CHN;1;10;7
1992;Aquatics;ESP;;13;1
1992;Aquatics;EUN;18;16;11
1992;Aquatics;FIN;1;;
1992;Aquatics;FRA;3;;
1992;Aquatics;GBR;1;;
1992;Aquatics;GER;18;9;1
1992;Aquatics;HUN;1;3;5
1992;Aquatics;ITA;2;;13
1992;Aquatics;JPN;3;;1
1992;Aquatics;NZL;;1;
1992;Aquatics;POL;;1;
1992;Aquatics;SUR;1;;
1992;Aquatics;SWE;1;5;
1992;Aquatics;USA;13;10;39
1992;Archery;CHN;;3;
1992;Archery;ESP;;;3
1992;Archery;EUN;4;;
1992;Archery;FIN;;3;
1992;Archery;FRA;;;1
1992;Archery;GBR;4;;
1992;Archery;KOR;;2;4
1992;Athletics;ALG;;;1
1992;Athletics;AUS;2;;
1992;Athletics;BAH;1;;
1992;Athletics;BUL;1;1;
1992;Athletics;CAN;1;1;1
1992;Athletics;CHN;2;1;1
1992;Athletics;COL;1;;
1992;Athletics;CUB;7;4;2
1992;Athletics;ESP;1;1;2
1992;Athletics;ETH;2;;1
1992;Athletics;EUN;3;14;12
1992;Athletics;FIN;;1;
1992;Athletics;FRA;;;1
1992;Athletics;GBR;12;;2
1992;Athletics;GER;5;1;4
1992;Athletics;GRE;;;1
1992;Athletics;ITA;1;;
1992;Athletics;JAM;1;3;
1992;Athletics;JPN;;2;
1992;Athletics;KEN;2;4;2
1992;Athletics;KOR;;;1
1992;Athletics;LTU;;;1
1992;Athletics;MAR;;1;1
1992;Athletics;MEX;;1;
1992;Athletics;NAM;;2;
1992;Athletics;NED;;;1
1992;Athletics;NGR;4;5;
1992;Athletics;NZL;1;;
1992;Athletics;POL;1;;
1992;Athletics;QAT;1;;
1992;Athletics;ROU;;1;
1992;Athletics;RSA;;1;
1992;Athletics;SWE;;1;
1992;Athletics;TCH;;;2
1992;Athletics;USA;10;13;25
1992;Badminton;CHN;6;2;
1992;Badminton;DEN;1;;
1992;Badminton;INA;1;3;2
1992;Badminton;KOR;2;1;4
1992;Badminton;MAS;2;;
1992;Baseball;CUB;;;20
1992;Baseball;JPN;20;;
1992;Baseball;TPE;;20;
1992;Basketball;CHN;;12;
1992;Basketball;CRO;;12;
1992;Basketball;EUN;;;12
1992;Basketball;LTU;12;;
1992;Basketball;USA;12;;12
1992;Boxing;ALG;1;;
1992;Boxing;BUL;1;1;
1992;Boxing;CAN;1;1;
1992;Boxing;CUB;;2;7
1992;Boxing;DEN;1;;
1992;Boxing;ESP;;1;
1992;Boxing;EUN;1;1;
1992;Boxing;FIN;1;;
1992;Boxing;GBR;1;;
1992;Boxing;GER;1;1;2
1992;Boxing;HUN;3;;
1992;Boxing;IRL;;1;1
1992;Boxing;KOR;2;;
1992;Boxing;MAR;1;;
1992;Boxing;MGL;1;;
1992;Boxing;NED;1;1;
1992;Boxing;NGR;;2;
1992;Boxing;NZL;1;;
1992;Boxing;PHI;1;;
1992;Boxing;POL;1;;
1992;Boxing;PRK;1;;1
1992;Boxing;PUR;1;;
1992;Boxing;ROU;1;;
1992;Boxing;THA;1;;
1992;Boxing;USA;1;1;1
1992;Canoe / Kayak;AUS;4;1;1
1992;Canoe / Kayak;BUL;2;;2
1992;Canoe / Kayak;DEN;;2;
1992;Canoe / Kayak;EUN;;1;2
1992;Canoe / Kayak;FIN;;;1
1992;Canoe / Kayak;FRA;5;1;
1992;Canoe / Kayak;GBR;;1;
1992;Canoe / Kayak;GER;2;6;14
1992;Canoe / Kayak;HUN;3;6;4
1992;Canoe / Kayak;ITA;2;;1
1992;Canoe / Kayak;LAT;;1;
1992;Canoe / Kayak;NOR;1;1;
1992;Canoe / Kayak;POL;3;2;
1992;Canoe / Kayak;SWE;4;4;
1992;Canoe / Kayak;TCH;;2;1
1992;Canoe / Kayak;USA;2;;2
1992;Cycling;AUS;;7;1
1992;Cycling;BEL;1;;
1992;Cycling;CAN;1;;
1992;Cycling;DEN;5;;
1992;Cycling;ESP;;;1
1992;Cycling;EST;;;1
1992;Cycling;FRA;4;1;
1992;Cycling;GBR;;;1
1992;Cycling;GER;;2;11
1992;Cycling;ITA;;4;2
1992;Cycling;LAT;1;;
1992;Cycling;NED;2;2;
1992;Cycling;NZL;1;;
1992;Cycling;USA;2;;
1992;Equestrian;AUS;;;5
1992;Equestrian;AUT;;4;
1992;Equestrian;FRA;4;;
1992;Equestrian;GER;5;2;6
1992;Equestrian;NED;;5;4
1992;Equestrian;NZL;1;4;
1992;Equestrian;USA;5;;
1992;Fencing;CHN;;1;
1992;Fencing;CUB;1;5;
1992;Fencing;EUN;6;2;5
1992;Fencing;FRA;7;;2
1992;Fencing;GER;;5;10
1992;Fencing;HUN;;10;1
1992;Fencing;ITA;;1;6
1992;Fencing;POL;5;;
1992;Fencing;ROU;5;;
1992;Football;ESP;;;12
1992;Football;GHA;13;;
1992;Football;POL;;12;
1992;Gymnastics;CHN;2;9;2
1992;Gymnastics;ESP;;1;
1992;Gymnastics;EUN;5;5;20
1992;Gymnastics;GER;2;1;
1992;Gymnastics;HUN;;1;1
1992;Gymnastics;JPN;7;1;
1992;Gymnastics;KOR;1;;
1992;Gymnastics;PRK;;;1
1992;Gymnastics;ROU;2;6;2
1992;Gymnastics;USA;8;2;1
1992;Handball;EUN;13;;12
1992;Handball;FRA;16;;
1992;Handball;KOR;;;13
1992;Handball;NOR;;14;
1992;Handball;SWE;;16;
1992;Hockey;AUS;;16;
1992;Hockey;ESP;;;16
1992;Hockey;GBR;16;;
1992;Hockey;GER;;16;16
1992;Hockey;PAK;16;;
1992;Judo;BEL;1;;
1992;Judo;BRA;;;1
1992;Judo;CAN;1;;
1992;Judo;CHN;2;;1
1992;Judo;CUB;3;1;1
1992;Judo;ESP;;;2
1992;Judo;EUN;2;;2
1992;Judo;FRA;4;1;2
1992;Judo;GBR;2;2;
1992;Judo;GER;2;;
1992;Judo;HUN;1;2;1
1992;Judo;ISR;1;1;
1992;Judo;ITA;;1;
1992;Judo;JPN;4;4;2
1992;Judo;KOR;2;1;1
1992;Judo;NED;2;;
1992;Judo;POL;;;1
1992;Judo;TUR;1;;
1992;Judo;USA;;1;
1992;Modern Pentathlon;EUN;1;3;
1992;Modern Pentathlon;HUN;;1;
1992;Modern Pentathlon;ITA;3;;
1992;Modern Pentathlon;POL;;;4
1992;Rowing;AUS;;;6
1992;Rowing;AUT;;2;
1992;Rowing;BEL;;1;
1992;Rowing;CAN;1;;24
1992;Rowing;CHN;2;;
1992;Rowing;EUN;4;;
1992;Rowing;GBR;;;5
1992;Rowing;GER;22;9;11
1992;Rowing;ITA;4;3;
1992;Rowing;NED;2;;
1992;Rowing;NOR;;4;
1992;Rowing;POL;6;;
1992;Rowing;ROU;3;24;6
1992;Rowing;SLO;6;;
1992;Rowing;TCH;;1;
1992;Rowing;USA;2;8;
1992;Sailing;AUS;3;;
1992;Sailing;CAN;2;;
1992;Sailing;CHN;;1;
1992;Sailing;DEN;2;;3
1992;Sailing;ESP;;1;7
1992;Sailing;EST;2;;
1992;Sailing;FRA;;;3
1992;Sailing;GBR;3;;
1992;Sailing;NED;1;;
1992;Sailing;NOR;;;1
1992;Sailing;NZL;1;4;1
1992;Sailing;USA;3;11;2
1992;Shooting;BUL;1;2;
1992;Shooting;CHN;;2;2
1992;Shooting;EUN;1;2;5
1992;Shooting;FRA;;1;
1992;Shooting;GER;1;;2
1992;Shooting;IOP;2;1;
1992;Shooting;ITA;2;;
1992;Shooting;JPN;1;1;
1992;Shooting;KOR;;;2
1992;Shooting;LAT;;1;
1992;Shooting;MGL;1;;
1992;Shooting;NOR;;1;
1992;Shooting;PER;;1;
1992;Shooting;POL;1;;
1992;Shooting;ROU;1;;
1992;Shooting;SWE;1;;
1992;Shooting;TCH;1;;1
1992;Shooting;USA;;1;1
1992;Table Tennis;CHN;1;3;5
1992;Table Tennis;FRA;;1;
1992;Table Tennis;GER;;2;
1992;Table Tennis;KOR;8;;
1992;Table Tennis;PRK;3;;
1992;Table Tennis;SWE;;;1
1992;Tennis;ARG;2;;
1992;Tennis;AUS;2;;
1992;Tennis;CRO;3;;
1992;Tennis;ESP;1;3;
1992;Tennis;EUN;3;;
1992;Tennis;GER;;1;2
1992;Tennis;RSA;;2;
1992;Tennis;SUI;;;1
1992;Tennis;USA;1;;3
1992;Volleyball;BRA;;;12
1992;Volleyball;CUB;;;12
1992;Volleyball;EUN;;12;
1992;Volleyball;NED;;12;
1992;Volleyball;USA;24;;
1992;Weightlifting;BUL;1;2;1
1992;Weightlifting;CHN;2;2;
1992;Weightlifting;CUB;;1;
1992;Weightlifting;EUN;;4;5
1992;Weightlifting;GER;2;;1
1992;Weightlifting;GRE;;;1
1992;Weightlifting;KOR;;;1
1992;Weightlifting;POL;2;1;
1992;Weightlifting;PRK;1;;
1992;Weightlifting;ROU;1;;
1992;Weightlifting;TUR;;;1
1992;Wrestling;BUL;1;1;
1992;Wrestling;CAN;;1;
1992;Wrestling;CHN;1;;
1992;Wrestling;CUB;3;;2
1992;Wrestling;EUN;5;5;6
1992;Wrestling;GER;;2;1
1992;Wrestling;HUN;;;2
1992;Wrestling;IRI;2;1;
1992;Wrestling;ITA;;1;
1992;Wrestling;JPN;1;;
1992;Wrestling;KOR;1;1;2
1992;Wrestling;NOR;;;1
1992;Wrestling;POL;;2;
1992;Wrestling;PRK;1;;2
1992;Wrestling;ROU;1;;
1992;Wrestling;SWE;1;1;
1992;Wrestling;TUR;1;2;1
1992;Wrestling;USA;2;3;3
1996;Aquatics;AUS;14;9;2
1996;Aquatics;BEL;;;1
1996;Aquatics;BRA;2;1;
1996;Aquatics;CAN;3;11;
1996;Aquatics;CHN;6;7;4
1996;Aquatics;CRC;;;1
1996;Aquatics;CRO;;13;
1996;Aquatics;CUB;1;1;
1996;Aquatics;ESP;;;13
1996;Aquatics;FIN;;1;
1996;Aquatics;GBR;1;1;
1996;Aquatics;GER;20;12;
1996;Aquatics;HUN;2;1;3
1996;Aquatics;IRL;1;;3
1996;Aquatics;ITA;14;;
1996;Aquatics;JPN;10;;
1996;Aquatics;NED;2;;
1996;Aquatics;NZL;;;2
1996;Aquatics;RSA;1;;2
1996;Aquatics;RUS;2;14;5
1996;Aquatics;SWE;;4;
1996;Aquatics;USA;4;11;57
1996;Archery;CHN;;1;
1996;Archery;GER;;3;
1996;Archery;ITA;3;;
1996;Archery;KOR;1;3;4
1996;Archery;POL;3;;
1996;Archery;SWE;;1;
1996;Archery;UKR;1;;
1996;Archery;USA;;;4
1996;Athletics;ALG;;;1
1996;Athletics;AUS;;2;
1996;Athletics;AUT;1;;
1996;Athletics;BAH;;5;
1996;Athletics;BDI;;;1
1996;Athletics;BLR;2;2;
1996;Athletics;BRA;4;;
1996;Athletics;BUL;;;1
1996;Athletics;CAN;;;6
1996;Athletics;CHN;1;2;1
1996;Athletics;CUB;1;1;
1996;Athletics;CZE;2;;1
1996;Athletics;ECU;;;1
1996;Athletics;ESP;1;1;
1996;Athletics;ETH;1;;2
1996;Athletics;FIN;1;;1
1996;Athletics;FRA;1;;3
1996;Athletics;GBR;2;9;
1996;Athletics;GER;6;1;3
1996;Athletics;GRE;;1;
1996;Athletics;HUN;;;1
1996;Athletics;ITA;2;2;
1996;Athletics;JAM;12;3;1
1996;Athletics;JPN;1;;
1996;Athletics;KEN;3;4;1
1996;Athletics;KOR;;1;
1996;Athletics;MAR;2;;
1996;Athletics;MEX;1;;
1996;Athletics;MOZ;1;;
1996;Athletics;NAM;;2;
1996;Athletics;NGR;2;4;1
1996;Athletics;NOR;1;;1
1996;Athletics;POL;;1;1
1996;Athletics;POR;;;1
1996;Athletics;ROU;;1;
1996;Athletics;RSA;;1;1
1996;Athletics;RUS;1;6;3
1996;Athletics;SLO;;1;
1996;Athletics;SWE;;;1
1996;Athletics;SYR;;;1
1996;Athletics;TRI;2;;
1996;Athletics;UGA;1;;
1996;Athletics;UKR;3;;1
1996;Athletics;USA;5;9;25
1996;Athletics;ZAM;;1;
1996;Badminton;CHN;4;1;2
1996;Badminton;DEN;;;1
1996;Badminton;INA;3;1;2
1996;Badminton;KOR;;4;3
1996;Badminton;MAS;1;2;
1996;Baseball;CUB;;;20
1996;Baseball;JPN;;20;
1996;Baseball;USA;20;;
1996;Basketball;AUS;12;;
1996;Basketball;BRA;;12;
1996;Basketball;LTU;12;;
1996;Basketball;USA;;;24
1996;Basketball;YUG;;12;
1996;Boxing;ALG;1;;1
1996;Boxing;ARG;1;;
1996;Boxing;BUL;;2;1
1996;Boxing;CAN;;1;
1996;Boxing;CUB;;3;4
1996;Boxing;ESP;1;;
1996;Boxing;GER;3;1;
1996;Boxing;HUN;;;1
1996;Boxing;KAZ;2;1;1
1996;Boxing;KOR;;1;
1996;Boxing;NGR;1;;
1996;Boxing;PHI;;1;
1996;Boxing;PUR;1;;
1996;Boxing;ROU;2;;
1996;Boxing;RUS;3;;1
1996;Boxing;TGA;;1;
1996;Boxing;THA;1;;1
1996;Boxing;TUN;1;;
1996;Boxing;TUR;;1;
1996;Boxing;UKR;1;;1
1996;Boxing;USA;5;;1
1996;Boxing;UZB;1;;
1996;Canoe / Kayak;AUS;5;;
1996;Canoe / Kayak;BUL;2;;
1996;Canoe / Kayak;CAN;;1;
1996;Canoe / Kayak;CZE;;3;3
1996;Canoe / Kayak;FRA;2;;2
1996;Canoe / Kayak;GER;3;4;13
1996;Canoe / Kayak;HUN;4;4;3
1996;Canoe / Kayak;ITA;1;3;3
1996;Canoe / Kayak;LAT;;1;
1996;Canoe / Kayak;MDA;;2;
1996;Canoe / Kayak;NOR;;1;1
1996;Canoe / Kayak;POL;1;;
1996;Canoe / Kayak;ROU;2;2;
1996;Canoe / Kayak;RUS;4;;
1996;Canoe / Kayak;SLO;;1;
1996;Canoe / Kayak;SUI;;4;
1996;Canoe / Kayak;SVK;;1;1
1996;Canoe / Kayak;SWE;4;;2
1996;Canoe / Kayak;USA;;1;
1996;Cycling;AUS;8;1;
1996;Cycling;CAN;3;2;
1996;Cycling;DEN;;1;
