Edition,NOC,Medal,Vitorias por medalha
1928,FIN,Bronze,9
1928,FIN,Gold,8
1928,FIN,Silver,8
1928,FRA,Bronze,13
1928,FRA,Gold,7
1928,FRA,Silver,16
1928,GBR,Bronze,24
1928,GBR,Gold,6
1928,GBR,Silver,25
1928,GER,Bronze,39
1928,GER,Gold,20
1928,GER,Silver,13
1928,HAI,Silver,1
1928,HUN,Gold,9
1928,HUN,Silver,11
1928,IND,Gold,15
1928,IRL,Gold,1
1928,ITA,Bronze,31
1928,ITA,Gold,18
1928,ITA,Silver,21
1928,JPN,Bronze,1
1928,JPN,Gold,2
1928,JPN,Silver,5
1928,NED,Bronze,6
1928,NED,Gold,20
1928,NED,Silver,39
1928,NOR,Bronze,1
1928,NOR,Gold,4
1928,NOR,Silver,4
1928,NZL,Gold,1
1928,PHI,Bronze,1
1928,POL,Bronze,14
1928,POL,Gold,1
1928,POL,Silver,3
1928,RSA,Bronze,5
1928,RSA,Gold,1
1928,SUI,Bronze,5
1928,SUI,Gold,16
1928,SUI,Silver,8
1928,SWE,Bronze,21
1928,SWE,Gold,7
1928,SWE,Silver,8
1928,TCH,Bronze,2
1928,TCH,Gold,2
1928,TCH,Silver,12
1928,URU,Gold,22
1928,USA,Bronze,17
1928,USA,Gold,43
1928,USA,Silver,24
1928,YUG,Bronze,10
1928,YUG,Gold,1
1928,YUG,Silver,1
1932,ARG,Gold,3
1932,ARG,Silver,1
1932,AUS,Bronze,1
1932,AUS,Gold,3
1932,AUS,Silver,1
1932,AUT,Bronze,3
1932,AUT,Gold,1
1932,AUT,Silver,1
1932,CAN,Bronze,23
1932,CAN,Gold,2
1932,CAN,Silver,13
1932,DEN,Bronze,4
1932,DEN,Silver,5
1932,ESP,Bronze,1
1932,FIN,Bronze,16
1932,FIN,Gold,5
1932,FIN,Silver,8
1932,FRA,Bronze,6
1932,FRA,Gold,23
1932,FRA,Silver,8
1932,GBR,Bronze,14
1932,GBR,Gold,8
1932,GBR,Silver,12
1932,GER,Bronze,5
1932,GER,Gold,7
1932,GER,Silver,26
1932,HUN,Bronze,8
1932,HUN,Gold,20
1932,HUN,Silver,4
1932,IND,Gold,11
1932,IRL,Gold,2
1932,ITA,Bronze,18
1932,ITA,Gold,21
1932,ITA,Silver,38
1932,JPN,Bronze,4
1932,JPN,Gold,10
1932,JPN,Silver,17
1932,LAT,Silver,1
1932,MEX,Silver,2
1932,NED,Gold,2
1932,NED,Silver,10
1932,NZL,Silver,2
1932,PHI,Bronze,3
1932,POL,Bronze,14
1932,POL,Gold,2
1932,POL,Silver,3
1932,RSA,Bronze,3
1932,RSA,Gold,2
1932,SUI,Silver,1
1932,SWE,Bronze,12
1932,SWE,Gold,12
1932,SWE,Silver,7
1932,TCH,Bronze,1
1932,TCH,Gold,1
1932,TCH,Silver,2
1932,URU,Bronze,1
1932,USA,Bronze,59
1932,USA,Gold,78
1932,USA,Silver,44
1936,ARG,Bronze,4
1936,ARG,Gold,5
1936,ARG,Silver,2
1936,AUS,Bronze,1
1936,AUT,Bronze,4
1936,AUT,Gold,5
1936,AUT,Silver,41
1936,BEL,Bronze,12
1936,CAN,Bronze,9
1936,CAN,Gold,1
1936,CAN,Silver,12
1936,DEN,Bronze,3
1936,DEN,Silver,3
1936,EGY,Bronze,2
1936,EGY,Gold,2
1936,EGY,Silver,1
1936,EST,Bronze,3
1936,EST,Gold,2
1936,EST,Silver,2
1936,FIN,Bronze,13
1936,FIN,Gold,7
1936,FIN,Silver,6
1936,FRA,Bronze,18
1936,FRA,Gold,12
1936,FRA,Silver,13
1936,GBR,Bronze,8
1936,GBR,Gold,12
1936,GBR,Silver,16
1936,GER,Bronze,59
1936,GER,Gold,88
1936,GER,Silver,63
1936,HUN,Bronze,16
1936,HUN,Gold,25
1936,HUN,Silver,1
1936,IND,Gold,19
1936,ITA,Bronze,5
1936,ITA,Gold,36
1936,ITA,Silver,30
1936,JPN,Bronze,8
1936,JPN,Gold,9
1936,JPN,Silver,4
1936,LAT,Bronze,1
1936,LAT,Silver,1
1936,MEX,Bronze,16
1936,NED,Bronze,21
1936,NED,Gold,9
1936,NED,Silver,7
1936,NOR,Bronze,15
1936,NOR,Gold,1
1936,NOR,Silver,12
1936,NZL,Gold,1
1936,PHI,Bronze,1
1936,POL,Bronze,4
1936,POL,Silver,5
1936,POR,Bronze,3
1936,ROU,Silver,2
1936,RSA,Silver,1
1936,SUI,Bronze,24
1936,SUI,Gold,1
1936,SUI,Silver,22
1936,SWE,Bronze,16
1936,SWE,Gold,7
1936,SWE,Silver,11
1936,TCH,Gold,5
1936,TCH,Silver,12
1936,TUR,Bronze,1
1936,TUR,Gold,1
1936,USA,Bronze,15
1936,USA,Gold,51
1936,USA,Silver,26
1936,YUG,Silver,1
1948,ARG,Bronze,1
1948,ARG,Gold,3
1948,ARG,Silver,8
1948,AUS,Bronze,5
1948,AUS,Gold,2
1948,AUS,Silver,9
1948,AUT,Bronze,3
1948,AUT,Gold,1
1948,BEL,Bronze,8
1948,BEL,Gold,4
1948,BEL,Silver,2
1948,BRA,Bronze,12
1948,CAN,Bronze,5
1948,CAN,Silver,1
1948,CUB,Silver,2
1948,DEN,Bronze,27
1948,DEN,Gold,7
1948,DEN,Silver,15
1948,EGY,Bronze,1
1948,EGY,Gold,2
1948,EGY,Silver,2
1948,ESP,Silver,3
1948,FIN,Bronze,7
1948,FIN,Gold,15
1948,FIN,Silver,7
1948,FRA,Bronze,21
1948,FRA,Gold,25
1948,FRA,Silver,22
1948,GBR,Bronze,11
1948,GBR,Gold,6
1948,GBR,Silver,39
1948,HUN,Bronze,21
1948,HUN,Gold,15
1948,HUN,Silver,24
1948,IND,Gold,20
1948,IRI,Bronze,1
1948,ITA,Bronze,12
1948,ITA,Gold,20
1948,ITA,Silver,31
1948,JAM,Gold,1
1948,JAM,Silver,2
1948,KOR,Bronze,2
1948,MEX,Bronze,4
1948,MEX,Gold,4
1948,MEX,Silver,1
1948,NED,Bronze,32
1948,NED,Gold,8
1948,NED,Silver,2
1948,NOR,Bronze,11
1948,NOR,Gold,3
1948,NOR,Silver,4
1948,PAN,Bronze,2
1948,PER,Gold,1
1948,POL,Bronze,1
1948,POR,Bronze,3
1948,POR,Silver,2
1948,PUR,Bronze,1
1948,RSA,Bronze,1
1948,RSA,Gold,2
1948,RSA,Silver,1
1948,SRI,Silver,1
1948,SUI,Bronze,5
1948,SUI,Gold,5
1948,SUI,Silver,22
1948,SWE,Bronze,29
1948,SWE,Gold,29
1948,SWE,Silver,15
1948,TCH,Bronze,3
1948,TCH,Gold,14
1948,TCH,Silver,3
1948,TRI,Silver,1
1948,TUR,Bronze,2
1948,TUR,Gold,6
1948,TUR,Silver,4
1948,URU,Bronze,2
1948,URU,Silver,1
1948,USA,Bronze,35
1948,USA,Gold,83
1948,USA,Silver,30
1948,YUG,Silver,16
1952,ARG,Bronze,2
1952,ARG,Gold,2
1952,ARG,Silver,2
1952,AUS,Bronze,11
1952,AUS,Gold,7
1952,AUS,Silver,2
1952,AUT,Bronze,2
1952,AUT,Silver,1
1952,BEL,Gold,4
1952,BEL,Silver,3
1952,BRA,Bronze,2
1952,BRA,Gold,1
1952,BUL,Bronze,1
1952,CAN,Gold,1
1952,CAN,Silver,3
1952,CHI,Silver,4
1952,DEN,Bronze,5
1952,DEN,Gold,3
1952,DEN,Silver,1
1952,EGY,Bronze,1
1952,ESP,Silver,1
1952,FIN,Bronze,29
1952,FIN,Gold,8
1952,FIN,Silver,3
1952,FRA,Bronze,16
1952,FRA,Gold,14
1952,FRA,Silver,9
1952,GBR,Bronze,26
1952,GBR,Gold,3
1952,GBR,Silver,2
1952,GER,Bronze,26
1952,GER,Silver,14
1952,HUN,Bronze,32
1952,HUN,Gold,52
1952,HUN,Silver,17
1952,IND,Bronze,1
1952,IND,Gold,14
1952,IRI,Bronze,4
1952,IRI,Silver,3
1952,IRL,Silver,1
1952,ITA,Bronze,15
1952,ITA,Gold,17
1952,ITA,Silver,21
1952,JAM,Gold,5
1952,JAM,Silver,3
1952,JPN,Bronze,2
1952,JPN,Gold,1
1952,JPN,Silver,9
1952,KOR,Bronze,2
1952,LIB,Bronze,1
1952,LIB,Silver,1
1952,LUX,Gold,1
1952,MEX,Silver,1
1952,NED,Silver,18
1952,NOR,Gold,5
1952,NOR,Silver,8
1952,NZL,Bronze,2
1952,NZL,Gold,1
1952,POL,Bronze,1
1952,POL,Gold,1
1952,POL,Silver,2
1952,POR,Bronze,2
1952,ROU,Bronze,2
1952,ROU,Gold,1
1952,ROU,Silver,1
1952,RSA,Bronze,4
1952,RSA,Gold,2
1952,RSA,Silver,8
1952,SUI,Bronze,12
1952,SUI,Gold,2
1952,SUI,Silver,19
1952,SWE,Bronze,23
1952,SWE,Gold,23
1952,SWE,Silver,24
1952,TCH,Bronze,10
1952,TCH,Gold,11
1952,TCH,Silver,4
1952,TRI,Bronze,2
1952,TUR,Bronze,1
1952,TUR,Gold,2
1952,URS,Bronze,19
1952,URS,Gold,36
1952,URS,Silver,62
1952,URU,Bronze,14
1952,USA,Bronze,28
1952,USA,Gold,79
1952,USA,Silver,23
1952,VEN,Bronze,1
1952,YUG,Gold,4
1952,YUG,Silver,20
1956,ARG,Bronze,1
1956,ARG,Silver,1
1956,AUS,Bronze,26
1956,AUS,Gold,23
1956,AUS,Silver,12
1956,AUT,Bronze,4
1956,BAH,Bronze,2
1956,BEL,Silver,2
1956,BRA,Gold,1
1956,BUL,Bronze,14
1956,BUL,Gold,1
1956,BUL,Silver,3
1956,CAN,Bronze,5
1956,CAN,Gold,5
1956,CAN,Silver,9
1956,CHI,Bronze,2
1956,CHI,Silver,2
1956,DEN,Bronze,1
1956,DEN,Gold,1
1956,DEN,Silver,5
1956,EUA,Bronze,22
1956,EUA,Gold,12
1956,EUA,Silver,23
1956,FIN,Bronze,22
1956,FIN,Gold,3
1956,FIN,Silver,1
1956,FRA,Bronze,13
1956,FRA,Gold,6
1956,FRA,Silver,13
1956,GBR,Bronze,22
1956,GBR,Gold,8
1956,GBR,Silver,15
1956,GRE,Bronze,1
1956,HUN,Bronze,14
1956,HUN,Gold,30
1956,HUN,Silver,20
1956,IND,Gold,17
1956,IRI,Bronze,1
1956,IRI,Gold,2
1956,IRI,Silver,2
1956,IRL,Bronze,3
1956,IRL,Gold,1
1956,IRL,Silver,1
1956,ISL,Silver,1
1956,ITA,Bronze,10
1956,ITA,Gold,25
1956,ITA,Silver,11
1956,JPN,Bronze,5
1956,JPN,Gold,4
1956,JPN,Silver,15
1956,KOR,Bronze,1
1956,KOR,Silver,1
1956,MEX,Bronze,1
1956,MEX,Gold,1
1956,NOR,Bronze,2
1956,NOR,Gold,1
1956,NZL,Gold,3
1956,PAK,Silver,14
1956,POL,Bronze,9
1956,POL,Gold,1
1956,POL,Silver,9
1956,ROU,Bronze,10
1956,ROU,Gold,6
1956,ROU,Silver,3
1956,RSA,Bronze,7
1956,SUI,Bronze,3
1956,SWE,Bronze,6
1956,SWE,Gold,14
1956,SWE,Silver,14
1956,TCH,Bronze,1
1956,TCH,Gold,1
1956,TCH,Silver,5
1956,TUR,Bronze,2
1956,TUR,Gold,3
1956,TUR,Silver,2
1956,URS,Bronze,55
1956,URS,Gold,68
1956,URS,Silver,46
1956,URU,Bronze,12
1956,USA,Bronze,20
1956,USA,Gold,61
1956,USA,Silver,37
1956,YUG,Silver,23
1960,ARG,Bronze,1
1960,ARG,Silver,3
1960,AUS,Bronze,9
1960,AUS,Gold,10
1960,AUS,Silver,17
1960,AUT,Gold,1
1960,AUT,Silver,2
1960,BEL,Bronze,2
1960,BEL,Silver,2
1960,BRA,Bronze,13
1960,BUL,Bronze,3
1960,BUL,Gold,1
1960,BUL,Silver,3
1960,BWI,Bronze,5
1960,CAN,Silver,9
1960,DEN,Bronze,4
1960,DEN,Gold,2
1960,DEN,Silver,17
1960,EGY,Bronze,1
1960,EGY,Silver,1
1960,ESP,Bronze,14
1960,ETH,Gold,1
1960,EUA,Bronze,21
1960,EUA,Gold,34
1960,EUA,Silver,33
1960,FIN,Bronze,4
1960,FIN,Gold,1
1960,FIN,Silver,1
1960,FRA,Bronze,5
1960,FRA,Silver,6
1960,GBR,Bronze,15
1960,GBR,Gold,2
1960,GBR,Silver,11
1960,GHA,Silver,1
1960,GRE,Gold,3
1960,HUN,Bronze,36
1960,HUN,Gold,13
1960,HUN,Silver,16
1960,IND,Silver,13
1960,IRI,Bronze,3
1960,IRI,Silver,1
1960,IRQ,Bronze,1
1960,ITA,Bronze,34
1960,ITA,Gold,36
1960,ITA,Silver,18
1960,JPN,Bronze,10
1960,JPN,Gold,9
1960,JPN,Silver,10
1960,MAR,Silver,1
1960,MEX,Bronze,1
1960,NED,Bronze,2
1960,NED,Silver,1
1960,NOR,Gold,2
1960,NZL,Bronze,1
1960,NZL,Gold,2
1960,PAK,Bronze,1
1960,PAK,Gold,13
1960,POL,Bronze,15
1960,POL,Gold,4
1960,POL,Silver,11
1960,POR,Silver,2
1960,ROU,Bronze,11
1960,ROU,Gold,3
1960,ROU,Silver,1
1960,RSA,Bronze,2
1960,RSA,Silver,1
1960,SIN,Silver,1
1960,SUI,Bronze,6
1960,SUI,Silver,5
1960,SWE,Bronze,3
1960,SWE,Gold,2
1960,SWE,Silver,2
1960,TCH,Bronze,11
1960,TCH,Gold,4
1960,TCH,Silver,7
1960,TPE,Silver,1
1960,TUR,Gold,7
1960,TUR,Silver,2
1960,URS,Bronze,45
1960,URS,Gold,61
1960,URS,Silver,63
1960,USA,Bronze,21
1960,USA,Gold,68
1960,USA,Silver,23
1960,VEN,Bronze,1
1960,YUG,Gold,16
1960,YUG,Silver,1
1964,ARG,Silver,1
1964,AUS,Bronze,29
1964,AUS,Gold,8
1964,AUS,Silver,5
1964,BAH,Gold,2
1964,BEL,Bronze,1
1964,BEL,Gold,2
1964,BRA,Bronze,12
1964,BUL,Bronze,2
1964,BUL,Gold,3
1964,BUL,Silver,5
1964,CAN,Bronze,1
1964,CAN,Gold,2
1964,CAN,Silver,2
1964,CUB,Silver,1
1964,DEN,Bronze,4
1964,DEN,Gold,7
1964,DEN,Silver,1
1964,ETH,Gold,1
1964,EUA,Bronze,49
1964,EUA,Gold,22
1964,EUA,Silver,44
1964,FIN,Bronze,2
1964,FIN,Gold,3
1964,FRA,Bronze,17
1964,FRA,Gold,1
1964,FRA,Silver,13
1964,GBR,Bronze,5
1964,GBR,Gold,4
1964,GBR,Silver,19
1964,GHA,Bronze,1
1964,HUN,Bronze,7
1964,HUN,Gold,42
1964,HUN,Silver,7
1964,IND,Gold,15
1964,IRI,Bronze,2
1964,IRL,Bronze,1
1964,ITA,Bronze,9
1964,ITA,Gold,13
1964,ITA,Silver,28
1964,JPN,Bronze,27
1964,JPN,Gold,32
1964,JPN,Silver,5
1964,KEN,Bronze,1
1964,KOR,Bronze,1
1964,KOR,Silver,2
1964,MEX,Bronze,1
1964,NED,Bronze,16
1964,NED,Gold,5
1964,NED,Silver,9
1964,NGR,Bronze,1
1964,NZL,Bronze,2
1964,NZL,Gold,4
1964,PAK,Silver,16
1964,PHI,Silver,1
1964,POL,Bronze,25
1964,POL,Gold,10
1964,POL,Silver,13
1964,ROU,Bronze,10
1964,ROU,Gold,2
1964,ROU,Silver,4
1964,SUI,Bronze,1
1964,SUI,Gold,1
1964,SUI,Silver,4
1964,SWE,Bronze,8
1964,SWE,Gold,3
1964,SWE,Silver,4
1964,TCH,Bronze,12
1964,TCH,Gold,5
1964,TCH,Silver,38
1964,TRI,Bronze,5
1964,TRI,Silver,1
1964,TUN,Bronze,1
1964,TUN,Silver,1
1964,TUR,Bronze,1
1964,TUR,Gold,2
1964,TUR,Silver,3
1964,URS,Bronze,50
1964,URS,Gold,61
1964,URS,Silver,63
1964,URU,Bronze,1
1964,USA,Bronze,36
1964,USA,Gold,78
1964,USA,Silver,36
1964,YUG,Bronze,2
1964,YUG,Gold,2
1964,YUG,Silver,11
1968,ARG,Bronze,2
1968,AUS,Bronze,10
1968,AUS,Gold,5
1968,AUS,Silver,34
1968,AUT,Bronze,3
1968,AUT,Silver,2
1968,BEL,Bronze,2
1968,BEL,Silver,1
1968,BRA,Bronze,3
1968,BRA,Silver,1
1968,BUL,Bronze,3
1968,BUL,Gold,2
1968,BUL,Silver,21
1968,CAN,Bronze,4
1968,CAN,Gold,3
1968,CAN,Silver,3
1968,CMR,Silver,1
1968,CUB,Silver,10
1968,DEN,Bronze,6
1968,DEN,Gold,4
1968,DEN,Silver,6
1968,ETH,Gold,1
1968,ETH,Silver,1
1968,FIN,Bronze,1
1968,FIN,Gold,1
1968,FIN,Silver,2
1968,FRA,Bronze,10
1968,FRA,Gold,12
1968,FRA,Silver,5
1968,FRG,Bronze,18
1968,FRG,Gold,16
1968,FRG,Silver,15
1968,GBR,Bronze,5
1968,GBR,Gold,8
1968,GBR,Silver,5
1968,GDR,Bronze,19
1968,GDR,Gold,13
1968,GDR,Silver,19
1968,GRE,Bronze,1
1968,HUN,Bronze,29
1968,HUN,Gold,32
1968,HUN,Silver,20
1968,IND,Bronze,15
1968,IRI,Bronze,2
1968,IRI,Gold,2
1968,IRI,Silver,1
1968,ITA,Bronze,19
1968,ITA,Gold,5
1968,ITA,Silver,8
1968,JAM,Silver,1
1968,JPN,Bronze,22
1968,JPN,Gold,16
1968,JPN,Silver,29
1968,KEN,Bronze,2
1968,KEN,Gold,3
1968,KEN,Silver,7
1968,KOR,Bronze,1
1968,KOR,Silver,1
1968,MEX,Bronze,3
1968,MEX,Gold,3
1968,MEX,Silver,3
1968,MGL,Bronze,3
1968,MGL,Silver,1
1968,NED,Bronze,1
1968,NED,Gold,6
1968,NED,Silver,7
1968,NOR,Gold,4
1968,NOR,Silver,2
1968,NZL,Bronze,2
1968,NZL,Gold,5
1968,PAK,Gold,13
1968,POL,Bronze,30
1968,POL,Gold,5
1968,POL,Silver,2
1968,ROU,Bronze,9
1968,ROU,Gold,5
1968,ROU,Silver,9
1968,SUI,Bronze,10
1968,SUI,Silver,3
1968,SWE,Bronze,1
1968,SWE,Gold,4
1968,SWE,Silver,4
1968,TCH,Bronze,15
1968,TCH,Gold,7
1968,TCH,Silver,7
1968,TPE,Bronze,1
1968,TUN,Bronze,1
1968,TUN,Gold,1
1968,TUR,Gold,2
1968,UGA,Bronze,1
1968,UGA,Silver,1
1968,URS,Bronze,60
1968,URS,Gold,66
1968,URS,Silver,62
1968,USA,Bronze,35
1968,USA,Gold,83
1968,USA,Silver,31
1968,VEN,Gold,1
1968,YUG,Bronze,2
1968,YUG,Gold,13
1968,YUG,Silver,14
1972,ARG,Silver,1
1972,AUS,Bronze,2
1972,AUS,Gold,11
1972,AUS,Silver,7
1972,AUT,Bronze,2
1972,AUT,Silver,1
1972,BEL,Silver,2
1972,BRA,Bronze,2
1972,BUL,Bronze,6
1972,BUL,Gold,6
1972,BUL,Silver,10
1972,CAN,Bronze,8
1972,CAN,Silver,2
1972,COL,Bronze,2
1972,COL,Silver,1
